propertyid,city,state,zipcode,address,bedrooms,bathrooms,squarefeet,pricing,yearbuilt,description,listingdate,status,type
34461041,Mccomb,Mississippi,39649,95557 Albert Pike Suite 246,4,2,536,3701235.29,1953,Recently renovated with modern finishes.,2023-08-05,For Sale,condominiums
30963541,Albion,Idaho,83311,07909 Adam Flats,1,3,2309,573007.76,1955,A beautiful home with stunning views.,2024-02-15,Sold,condominiums
92500455,Epping,New Hampshire,3042,64215 White Streets,4,3,3892,87992.19,1985,Close to schools and shopping centers.,2023-09-20,Sold,villas
21434964,Hustisford,Wisconsin,53034,0713 English Drive,3,2,1364,1996219.87,1978,Close to schools and shopping centers.,2024-05-06,Pending,townhouses
35083334,Wurtsboro,New York,12790,516 Seth Manors,2,1,2561,3390891.16,1961,A beautiful home with stunning views.,2023-10-05,Under Contract,townhouses
49578078,Des Moines,Iowa,50308,76757 Meyers Trail,2,1,1488,3069613.93,2016,Perfect for first-time buyers or investors.,2023-09-20,Pending,single houses
97208204,Houston,Texas,77003,848 Thompson Land Apt. 638,2,3,1149,2195253.06,2005,Spacious property with a large backyard.,2023-09-28,Under Contract,townhouses
60311184,Osakis,Minnesota,56360,653 Sims Crossroad,4,1,4318,1728613.11,1931,Spacious property with a large backyard.,2023-12-12,Sold,townhouses
35839595,Totowa,New Jersey,7511,4870 Williams Knoll,4,1,616,1239674.63,1909,"Located in a quiet neighborhood, this property offers great potential.",2024-06-17,For Sale,single houses
70048568,Afton,Virginia,22920,2553 Sharon Drives Apt. 559,4,2,4897,3108385.01,1964,Close to schools and shopping centers.,2023-08-27,Off Market,villas
12112572,Billings,Montana,59111,67106 Kelli Squares,2,2,3877,1696391.9,1919,Spacious property with a large backyard.,2024-02-24,Sold,villas
12592713,Egeland,North Dakota,58331,51970 Anderson Shoal Suite 955,5,3,2544,1339615.01,1926,Spacious property with a large backyard.,2024-07-11,Off Market,single houses
28397994,Perry,Kansas,66073,7573 Oliver Greens Suite 789,4,1,3310,3150323.4,1979,Spacious property with a large backyard.,2023-09-27,For Sale,single houses
52770423,Anniston,Alabama,36204,53576 Linda Summit Apt. 475,3,2,2180,872014.53,1965,Perfect for first-time buyers or investors.,2024-02-08,Under Contract,condominiums
64063879,Morris,Illinois,60450,806 Keith Loaf,4,2,2095,2794244.32,1930,Close to schools and shopping centers.,2023-12-26,Under Contract,townhouses
29704802,Poynette,Wisconsin,53955,244 Brandon Harbor Suite 641,2,3,2215,4601908.68,1942,Perfect for first-time buyers or investors.,2024-02-01,Under Contract,townhouses
73331015,Carlos,Minnesota,56319,2328 Stacey Highway Apt. 277,5,3,2930,2556590.88,1996,Recently renovated with modern finishes.,2024-03-07,Under Contract,villas
83762487,River Rouge,Michigan,48218,078 Martinez Glens,5,1,1958,4252432.67,1945,A beautiful home with stunning views.,2024-01-07,For Sale,townhouses
88670253,Santa Clarita,California,91390,8536 Graham Bridge Apt. 332,5,2,862,2544778.72,1988,A beautiful home with stunning views.,2023-09-12,Off Market,villas
26313322,Cumberland Gap,Tennessee,37724,75720 Johnson Ridges Apt. 948,2,1,2837,3684016.88,1994,Close to schools and shopping centers.,2024-05-02,Sold,single houses
48907445,Washington Mills,New York,13479,8387 Kyle Knolls Apt. 026,1,2,3202,2405720.65,1941,Recently renovated with modern finishes.,2023-09-21,For Sale,single houses
17492466,Central City,Colorado,80427,94818 Haley Shore Apt. 723,5,1,1659,1981911.04,2020,Recently renovated with modern finishes.,2024-01-25,Sold,condominiums
88124757,Kennebunkport,Maine,4046,868 Wiley Village Suite 088,5,3,2995,2606722.42,1919,Spacious property with a large backyard.,2023-08-06,Pending,townhouses
40429456,Vanlue,Ohio,45890,730 Jenny Flats Suite 769,3,3,1765,119126.01,1993,"Located in a quiet neighborhood, this property offers great potential.",2023-12-09,Sold,townhouses
23809556,Buckman,Minnesota,56317,700 Jones Ranch Apt. 462,2,3,1801,2808056.94,1949,"Located in a quiet neighborhood, this property offers great potential.",2024-03-24,Pending,condominiums
44906035,Mission,Kansas,66222,612 Lopez Wells Suite 986,1,2,2804,477748.59,1927,Perfect for first-time buyers or investors.,2024-07-10,Under Contract,single houses
61683458,Holly Hill,South Carolina,29059,685 Johnson Via,3,3,1953,2184142.98,2017,Close to schools and shopping centers.,2024-04-18,For Sale,townhouses
69479322,Kailua Kona,Hawaii,96745,032 Daniel Islands Apt. 445,1,3,4679,1220688.2,1917,Recently renovated with modern finishes.,2023-12-27,For Sale,single houses
39005490,Clendenin,West Virginia,25045,3470 Lee Brook,5,1,3868,4281363.95,1912,Recently renovated with modern finishes.,2024-07-06,Under Contract,townhouses
95932369,Arcadia,Oklahoma,73007,926 Murphy Knoll Suite 329,4,1,1690,2108662.0,1953,Recently renovated with modern finishes.,2024-04-24,Under Contract,condominiums
73128783,Sebec,Maine,4481,89793 Stacy Forge Suite 953,3,3,1275,1722737.34,1942,Perfect for first-time buyers or investors.,2024-03-03,Off Market,villas
53444766,San Diego,California,92193,395 Ronald Mill Apt. 205,2,2,1186,1671699.65,1995,Recently renovated with modern finishes.,2023-11-10,Under Contract,villas
14720258,Wilcoe,West Virginia,24895,07506 Gloria Shore Apt. 917,5,1,2134,4010807.72,1902,Perfect for first-time buyers or investors.,2024-06-13,Off Market,single houses
26038639,Las Vegas,Nevada,89139,59309 Timothy Island Apt. 707,2,1,4713,2558983.47,1997,Spacious property with a large backyard.,2023-08-18,For Sale,apartments
40144702,Perkins,Georgia,30822,09988 Allison Oval,4,3,3820,1560404.52,1995,Recently renovated with modern finishes.,2023-10-01,Off Market,single houses
85641083,Walterville,Oregon,97489,065 Christina Shore Apt. 324,2,3,4969,1528208.83,2011,Spacious property with a large backyard.,2024-07-03,For Sale,single houses
61395056,Redway,California,95560,3214 Sandra Corners,1,1,3793,3890886.54,2021,A beautiful home with stunning views.,2024-05-30,Pending,villas
45488672,Sylvania,Alabama,35988,1638 Ruiz Prairie,4,2,3528,3547872.31,2017,Close to schools and shopping centers.,2023-09-07,For Sale,apartments
67827681,Pickens,Oklahoma,74752,2255 Small Street Apt. 238,1,2,2258,4784354.43,1922,Spacious property with a large backyard.,2024-07-03,For Sale,apartments
73168787,Oklahoma City,Oklahoma,73157,141 Megan Harbors,2,1,4466,2685453.25,1926,"Located in a quiet neighborhood, this property offers great potential.",2024-02-26,Sold,townhouses
56885443,Knoxville,Alabama,35469,22834 Oneal Wall Apt. 651,5,1,4914,3072024.89,1934,"Located in a quiet neighborhood, this property offers great potential.",2024-05-02,Under Contract,townhouses
88626799,Deer Isle,Maine,4627,37284 Melanie Forge Apt. 758,4,2,4033,3076314.16,2007,Recently renovated with modern finishes.,2024-06-07,Off Market,apartments
37377261,Morton,Illinois,61550,6680 Walker Ferry,3,3,1087,4058965.21,1929,"Located in a quiet neighborhood, this property offers great potential.",2023-12-11,For Sale,townhouses
62341149,Good Hart,Michigan,49737,5727 Boone Trace Suite 278,1,2,1567,3103724.4,1900,"Located in a quiet neighborhood, this property offers great potential.",2023-11-27,For Sale,condominiums
37725537,Newark,New Jersey,7108,35042 Morgan Fort Apt. 410,2,1,1047,1914046.93,1948,A beautiful home with stunning views.,2024-07-02,Pending,apartments
26791835,La Moille,Illinois,61330,9126 Lane Place,2,2,2847,3868930.49,1914,A beautiful home with stunning views.,2024-03-22,Sold,single houses
79455991,Omega,Oklahoma,73764,6583 Donna Lake,1,3,618,825613.82,1979,Recently renovated with modern finishes.,2024-04-22,Sold,villas
65422177,Mirror Lake,New Hampshire,3853,3581 Anderson Court Apt. 792,3,1,3422,3542042.42,1994,"Located in a quiet neighborhood, this property offers great potential.",2023-12-02,Sold,single houses
27228785,Farmington,Connecticut,6034,40611 Quinn Crescent Apt. 345,5,2,3812,1505656.35,1940,Close to schools and shopping centers.,2023-08-21,Off Market,villas
40461828,Vernon,Texas,76384,047 Li Ville,3,1,1951,3375748.28,2000,Close to schools and shopping centers.,2024-06-12,For Sale,single houses
42327658,Belleville,Illinois,62222,97956 Scott Spur Suite 771,1,2,4205,3346643.63,1931,Perfect for first-time buyers or investors.,2024-06-15,Pending,apartments
35909037,Mapleton,Maine,4757,40303 Sims Lake Suite 718,3,2,4550,2586631.62,1925,Perfect for first-time buyers or investors.,2023-11-27,Off Market,townhouses
82723904,Bridgeport,New York,13030,8569 Huber Village,1,2,3450,3787178.67,1921,Recently renovated with modern finishes.,2024-06-24,For Sale,townhouses
49257421,Fort Belvoir,Virginia,22060,58835 Holmes Brook Suite 502,4,2,4775,3227267.84,2018,Close to schools and shopping centers.,2023-11-21,Under Contract,single houses
67452551,Washington,District of Columbia,20527,628 Crystal Valleys,2,3,4872,3550201.57,1976,Recently renovated with modern finishes.,2024-02-15,For Sale,townhouses
57779727,Pahrump,Nevada,89061,1187 Saunders Tunnel,2,1,3308,2603986.28,1917,Recently renovated with modern finishes.,2024-01-31,Sold,townhouses
98487841,Charlotte,North Carolina,28255,218 Melissa Dale,3,2,4033,682470.16,1995,A beautiful home with stunning views.,2024-01-23,For Sale,townhouses
38259732,Franktown,Virginia,23354,1849 Derek Fork Apt. 034,1,2,1324,3774588.6,2013,A beautiful home with stunning views.,2023-08-25,Sold,condominiums
28422636,Mayslick,Kentucky,41055,481 Porter Wells,5,3,830,2633464.6,1900,Perfect for first-time buyers or investors.,2024-04-30,Under Contract,single houses
51579669,Billings,Missouri,65610,1304 Barry Highway,1,1,4755,1686395.8,2020,Spacious property with a large backyard.,2023-08-26,Sold,single houses
71106350,Oneill,Nebraska,68763,951 Blackwell Forge Suite 723,1,2,1698,896761.5,1910,Spacious property with a large backyard.,2023-11-30,Pending,apartments
91500479,Berea,West Virginia,26327,6102 Garcia Isle,5,1,4894,3944975.59,1918,Recently renovated with modern finishes.,2023-08-08,Off Market,townhouses
16568563,Lobeco,South Carolina,29931,40780 Mills Estate Suite 384,3,2,1872,2540570.57,1965,A beautiful home with stunning views.,2023-11-09,Off Market,apartments
14827181,Rochester,New York,14608,405 Todd Creek Suite 245,1,2,3730,2192450.63,1934,A beautiful home with stunning views.,2023-09-09,Under Contract,villas
24739702,Las Vegas,Nevada,89161,853 Benjamin Crest Suite 058,5,2,2232,1525708.51,1966,"Located in a quiet neighborhood, this property offers great potential.",2023-09-03,Off Market,villas
94280218,Springfield,Maine,4487,529 Gibbs Plains Apt. 469,1,2,3756,3657045.81,1995,Spacious property with a large backyard.,2024-03-20,For Sale,apartments
44939707,Bishop Hill,Illinois,61419,98343 York Falls Suite 897,2,2,3523,1415842.31,1910,Close to schools and shopping centers.,2023-10-08,Sold,condominiums
27565867,Eccles,West Virginia,25836,14775 Michael Stravenue Apt. 092,1,3,4297,3044979.86,1929,"Located in a quiet neighborhood, this property offers great potential.",2024-04-21,Sold,villas
96200030,Wales,Utah,84667,30664 Joseph Walks Apt. 801,2,1,2206,4044982.57,1904,A beautiful home with stunning views.,2023-12-08,Off Market,single houses
97035296,Warner Robins,Georgia,31088,9068 Humphrey Circles,1,3,4167,1387767.0,1959,Spacious property with a large backyard.,2023-12-07,Under Contract,townhouses
18107938,Dundalk,Maryland,21222,16000 Christine Way Apt. 303,4,3,720,3655967.67,1973,A beautiful home with stunning views.,2023-11-30,Under Contract,single houses
82216418,South Beach,Oregon,97366,37929 Mary Lane,4,3,4109,2565102.33,1942,Spacious property with a large backyard.,2023-09-20,Pending,apartments
89957369,Wren,Ohio,45899,0241 Jesse Grove,2,1,3372,2605450.68,1930,Perfect for first-time buyers or investors.,2024-03-01,Sold,condominiums
86411968,Ellisburg,New York,13636,4227 Kevin Loop,1,3,4270,2681794.33,1986,Perfect for first-time buyers or investors.,2024-02-06,For Sale,apartments
13244747,Detroit,Michigan,48201,222 Barrett Road,3,3,1433,126031.49,1910,Spacious property with a large backyard.,2024-04-27,Sold,apartments
18313538,Phoenix,Arizona,85063,206 James Mountain Suite 245,1,3,2904,2508721.74,1936,Close to schools and shopping centers.,2023-08-05,Off Market,condominiums
35432194,Manito,Illinois,61546,730 Andrew Wells Apt. 965,1,3,2725,4189210.3,1943,Perfect for first-time buyers or investors.,2024-02-28,Under Contract,condominiums
47870582,White River Junction,Vermont,5001,82925 Moore Squares,5,3,4378,4145068.93,1996,Close to schools and shopping centers.,2023-11-26,Pending,apartments
79692083,Boothbay Harbor,Maine,4538,6029 Ricardo Mountain Suite 136,5,2,4046,857757.02,1967,Recently renovated with modern finishes.,2023-09-08,Under Contract,villas
57440613,Royal Oak,Michigan,48068,3562 David Cove,3,3,3076,733214.56,1923,Close to schools and shopping centers.,2023-12-11,Pending,apartments
35589653,Vicksburg,Mississippi,39183,309 Amy Plain,1,3,3307,3559226.47,1994,Spacious property with a large backyard.,2024-01-22,Pending,townhouses
95207712,Lebeau,Louisiana,71345,73427 Phillips Prairie,1,1,1467,993835.01,1940,Spacious property with a large backyard.,2023-10-02,For Sale,villas
26280745,Black,Missouri,63625,99165 Brittany Lakes Suite 622,5,2,2171,488471.95,1978,"Located in a quiet neighborhood, this property offers great potential.",2023-11-25,Under Contract,condominiums
61129793,Rome,Pennsylvania,18837,32036 Tara Center,5,3,844,2232789.81,1981,A beautiful home with stunning views.,2024-05-10,For Sale,condominiums
52199973,Levittown,Pennsylvania,19057,96386 Steven Viaduct,5,3,4183,1943358.74,1973,Close to schools and shopping centers.,2024-01-09,Pending,villas
79672501,Santa Maria,California,93457,7377 Hopkins Junctions,3,2,3689,3165091.29,1969,Close to schools and shopping centers.,2024-01-01,Pending,apartments
97158175,Seattle,Washington,98199,3290 Martin Curve,4,1,2889,1251305.39,1969,Spacious property with a large backyard.,2024-02-10,Under Contract,villas
65197796,Uriah,Alabama,36480,054 Lane Lane,5,2,4977,3188936.31,1906,A beautiful home with stunning views.,2023-11-25,Pending,villas
20081780,Arnold Afb,Tennessee,37389,75460 Murphy Square Apt. 201,1,2,2774,3842629.42,1951,Close to schools and shopping centers.,2024-03-16,For Sale,townhouses
61454277,Washington,Missouri,63090,1604 Vazquez Ville Apt. 444,2,1,3438,4113247.68,1908,Spacious property with a large backyard.,2024-04-04,Pending,condominiums
22514199,Dobbins,California,95935,27248 Lewis Path,2,2,1020,2010911.09,1944,Close to schools and shopping centers.,2023-12-22,Under Contract,townhouses
70550428,Carthage,Tennessee,37030,6747 Susan Square,3,1,3883,2676636.93,1920,Close to schools and shopping centers.,2024-05-14,Sold,townhouses
23243432,Somers Point,New Jersey,8244,9371 Rodriguez Common,2,2,3779,610014.0,2010,Recently renovated with modern finishes.,2023-08-24,Off Market,villas
70753470,Riverside,California,92513,6457 Bonilla Ramp,4,3,2986,4885080.74,1991,"Located in a quiet neighborhood, this property offers great potential.",2023-11-03,Sold,apartments
21019190,Pine Ridge,South Dakota,57770,850 Morse Orchard,3,2,3289,2188282.45,1962,Recently renovated with modern finishes.,2023-11-02,Off Market,condominiums
58289939,Kansas City,Missouri,64155,67185 Ball Course Apt. 385,5,3,3836,2182789.68,1969,Spacious property with a large backyard.,2024-06-29,Under Contract,townhouses
67563895,Machiasport,Maine,4655,3064 Shannon Junction Apt. 810,5,3,2058,2312787.98,1926,Recently renovated with modern finishes.,2023-10-13,Under Contract,condominiums
94545077,Cincinnati,Ohio,45209,94062 Collier Drives Apt. 468,4,1,2253,1088853.69,1967,Recently renovated with modern finishes.,2023-11-08,For Sale,villas
50429883,Halifax,Virginia,24558,734 Rich Street,4,2,4856,3510211.36,1925,Perfect for first-time buyers or investors.,2023-11-17,Pending,apartments
36912520,Bloomville,Ohio,44818,0874 Mitchell Mills Apt. 846,5,3,3520,1007819.87,1916,Perfect for first-time buyers or investors.,2024-07-21,Off Market,single houses
60550369,Port Deposit,Maryland,21904,802 Allen Tunnel,2,1,4552,3156126.27,2019,Recently renovated with modern finishes.,2023-08-06,Pending,townhouses
57156996,La Crosse,Florida,32658,200 Reyes Trace,1,1,4217,880624.28,1973,Spacious property with a large backyard.,2024-01-09,For Sale,single houses
32461058,Chillicothe,Missouri,64601,12504 Rosario Wells Apt. 145,5,2,1731,3749285.59,1940,Close to schools and shopping centers.,2024-07-09,Off Market,apartments
31490448,Tekamah,Nebraska,68061,787 Lopez Ramp Apt. 406,5,2,1972,4576266.76,1902,Close to schools and shopping centers.,2024-04-09,Off Market,single houses
42848263,Daytona Beach,Florida,32125,871 Martinez Extension Apt. 730,3,3,4698,296579.8,1930,"Located in a quiet neighborhood, this property offers great potential.",2024-05-07,Pending,villas
61226293,Muskegon,Michigan,49444,776 Nathan Hills,4,2,1685,2432457.44,1943,"Located in a quiet neighborhood, this property offers great potential.",2024-01-06,Sold,apartments
93853173,Dinero,Texas,78350,7585 Emily Overpass Suite 369,5,3,3891,935272.6,2001,Perfect for first-time buyers or investors.,2023-11-27,Pending,villas
57645376,Fort Lauderdale,Florida,33314,334 Mikayla Shoals,3,2,2240,93728.49,1974,Spacious property with a large backyard.,2024-04-29,Under Contract,townhouses
60463916,APO AE,,9250,96693 Cross Prairie,5,1,4982,315814.06,1935,Recently renovated with modern finishes.,2023-11-01,Pending,single houses
88143483,Hugheston,West Virginia,25110,7563 Cruz Locks Apt. 480,4,1,4958,2324016.5,1979,Close to schools and shopping centers.,2024-06-07,Sold,single houses
70512831,Madison,Wisconsin,53704,0148 Thomas Drive Apt. 947,4,1,1648,2551855.56,1946,"Located in a quiet neighborhood, this property offers great potential.",2023-10-03,Sold,villas
29503195,Seneca,Illinois,61360,099 Mark Islands,2,1,4371,901751.75,1956,Spacious property with a large backyard.,2024-04-19,For Sale,villas
49212637,Osage City,Kansas,66523,6923 Jessica Street,5,3,3691,3236193.69,1950,Perfect for first-time buyers or investors.,2024-03-27,For Sale,apartments
58093695,Davis Wharf,Virginia,23345,3100 Brandon Plaza Apt. 447,3,3,1709,1339402.9,1912,"Located in a quiet neighborhood, this property offers great potential.",2024-01-10,For Sale,apartments
54472324,Ridgeview,South Dakota,57652,080 Paul Circles Apt. 874,4,2,3113,2527237.76,1923,Close to schools and shopping centers.,2023-11-03,For Sale,condominiums
41092907,Titusville,Florida,32781,632 Joseph Drives,4,2,1555,530574.55,1921,Close to schools and shopping centers.,2024-03-23,Sold,condominiums
64704727,Quincy,Illinois,62306,524 Rasmussen Roads,4,2,1041,2805859.52,1976,Perfect for first-time buyers or investors.,2024-02-17,For Sale,condominiums
74007095,Raleigh,North Carolina,27640,96669 Martin Corners,5,1,3209,570468.35,1976,Recently renovated with modern finishes.,2024-03-06,Pending,single houses
37195308,APO AE,,9821,3502 Mejia Street,1,2,1632,3727120.42,1993,Perfect for first-time buyers or investors.,2023-10-20,For Sale,condominiums
12893454,Whigham,Georgia,39897,59190 Mora Squares,4,2,3480,669505.56,2006,Spacious property with a large backyard.,2023-12-26,Under Contract,apartments
80096366,Richardson,Texas,75082,262 Johnson Fork,4,1,3742,1009520.19,1941,Spacious property with a large backyard.,2024-04-22,Off Market,condominiums
46878721,Levan,Utah,84639,372 Montoya Trafficway Suite 838,4,1,2140,2690748.94,2009,A beautiful home with stunning views.,2024-04-02,Sold,single houses
55120820,Eskridge,Kansas,66423,1142 Robert Parks,3,2,986,4045465.86,1971,Spacious property with a large backyard.,2023-11-10,For Sale,single houses
59997943,Hartford,Connecticut,6134,820 Andrew River,1,3,2167,2418657.59,1946,Spacious property with a large backyard.,2024-02-08,Under Contract,villas
86623534,Grafton,Nebraska,68365,0748 Davis Turnpike Suite 952,5,1,2516,378553.49,1989,Recently renovated with modern finishes.,2024-02-22,Under Contract,townhouses
12515208,Colfax,Iowa,50054,9760 Betty River,2,3,2885,2354941.49,1994,Close to schools and shopping centers.,2023-10-21,Pending,single houses
17416339,Newberry,Florida,32669,930 Aaron Stream,2,3,2644,1494151.39,1934,Perfect for first-time buyers or investors.,2024-04-09,Under Contract,condominiums
36505120,Latham,Kansas,67072,9035 Willie Wall Suite 741,4,2,4091,2879618.03,1979,Close to schools and shopping centers.,2024-05-01,Pending,single houses
22188457,Hoyt,Kansas,66440,4568 Debbie Trail,3,2,1026,4628508.09,1954,"Located in a quiet neighborhood, this property offers great potential.",2023-12-04,Off Market,villas
65124518,Center,Texas,75935,761 Mcdonald Camp,3,3,1370,4897733.92,2002,"Located in a quiet neighborhood, this property offers great potential.",2024-01-10,Off Market,condominiums
25233555,Stockholm,Maine,4783,716 Miller Stravenue Suite 070,4,3,4792,1682184.92,2012,Close to schools and shopping centers.,2024-03-14,Off Market,townhouses
31545459,Youngstown,Ohio,44511,07786 Stacie Square Suite 974,4,1,4996,3584252.88,1979,Perfect for first-time buyers or investors.,2024-03-22,Sold,single houses
86948717,Spokane,Washington,99215,65122 Stevenson Heights,4,2,4432,193059.8,1932,"Located in a quiet neighborhood, this property offers great potential.",2024-06-13,Sold,townhouses
55612864,Chester,South Dakota,57016,1228 Edwards Ramp,2,3,2005,654359.85,1947,Recently renovated with modern finishes.,2024-07-30,Sold,single houses
23078656,Navarre,Minnesota,55392,265 Irwin Lock Apt. 807,1,2,4799,3216081.25,1954,Spacious property with a large backyard.,2024-07-22,Sold,villas
22464351,Tulsa,Oklahoma,74186,464 Davis Corners Apt. 277,3,1,4905,4586437.76,1965,"Located in a quiet neighborhood, this property offers great potential.",2023-11-16,Pending,apartments
90427057,Cortland,New York,13045,2391 Rodney Course Apt. 946,3,1,2039,2476801.05,1981,Close to schools and shopping centers.,2023-09-10,Pending,townhouses
49963547,Spout Spring,Virginia,24593,612 Ayala Village Suite 120,3,2,708,307222.83,2015,Perfect for first-time buyers or investors.,2024-05-12,Sold,apartments
30308006,Cason,Texas,75636,88519 Charles Vista,4,2,3544,576140.54,2010,Recently renovated with modern finishes.,2024-05-16,Pending,townhouses
67799377,Centerville,Massachusetts,2632,819 Joseph Plaza Suite 123,4,1,739,1398026.93,1959,A beautiful home with stunning views.,2023-12-11,For Sale,townhouses
61421275,Woodlake,Texas,75865,988 David Passage Suite 377,2,3,1988,3955704.33,2010,Perfect for first-time buyers or investors.,2024-05-07,Sold,townhouses
18237535,Key West,Florida,33041,44664 Palmer Mission Apt. 672,3,2,4569,2012503.94,1924,Close to schools and shopping centers.,2024-04-22,Sold,single houses
90659220,Steamboat Rock,Iowa,50672,8696 Clark Circles,4,2,556,4983213.43,1914,A beautiful home with stunning views.,2024-06-12,Under Contract,apartments
20058124,Marianna,Arkansas,72360,4719 Berry Villages Suite 376,2,3,4989,1897702.85,1979,Close to schools and shopping centers.,2023-08-06,Under Contract,single houses
98666918,Glenallen,Missouri,63751,6087 Todd Expressway,4,2,1293,3219882.45,1972,Close to schools and shopping centers.,2024-07-18,Off Market,condominiums
53665784,Port Washington,New York,11053,137 Terrell Brook Suite 032,5,3,2738,401160.31,1963,A beautiful home with stunning views.,2023-08-27,Sold,condominiums
69144139,New York,New York,10155,9640 Simpson Forest,5,2,1732,1890891.49,1946,"Located in a quiet neighborhood, this property offers great potential.",2023-10-29,For Sale,townhouses
70782643,Six Mile Run,Pennsylvania,16679,60923 Robert Viaduct Apt. 141,1,1,1910,4453596.5,1960,Recently renovated with modern finishes.,2023-12-09,Pending,condominiums
57579877,Java,South Dakota,57452,1415 Brown Cliffs,1,3,1724,4394966.64,2017,"Located in a quiet neighborhood, this property offers great potential.",2024-05-16,Under Contract,condominiums
84257193,Crawfordsville,Arkansas,72327,5381 Terry Lights Apt. 079,4,2,4993,4520989.86,2014,A beautiful home with stunning views.,2023-10-18,Sold,townhouses
12641290,Pocasset,Oklahoma,73079,846 Dylan Trail,2,2,1264,1392661.12,1958,Recently renovated with modern finishes.,2023-08-06,Pending,single houses
84108679,Blanding,Utah,84511,32095 Cooper Cliff,1,2,4560,3647172.89,1963,Recently renovated with modern finishes.,2024-06-13,Off Market,townhouses
58705601,Whatley,Alabama,36482,71469 Jeremy Village,4,1,2290,2790214.29,2016,Perfect for first-time buyers or investors.,2024-03-11,Pending,condominiums
29002755,Afton,Michigan,49705,221 Bruce Camp Apt. 718,4,1,4659,3422371.74,1971,Recently renovated with modern finishes.,2024-03-23,Pending,apartments
37767795,Witter,Arkansas,72776,4087 Margaret Lake,2,3,4585,3167854.44,1999,Perfect for first-time buyers or investors.,2023-11-22,Under Contract,single houses
83423043,Windsor,Connecticut,6006,2484 Christine Mills,5,2,2840,1563256.15,1958,A beautiful home with stunning views.,2023-11-14,For Sale,single houses
19728436,Bolivar,Ohio,44612,6685 Connie Plaza,2,1,870,1656108.42,1938,"Located in a quiet neighborhood, this property offers great potential.",2024-02-06,For Sale,single houses
21008482,Walker,South Dakota,57659,4507 Elizabeth Station Apt. 156,4,1,4797,3420126.08,1985,Recently renovated with modern finishes.,2024-06-14,Sold,villas
20718916,Arispe,Iowa,50831,7597 Combs Route,3,2,2713,640148.49,1904,Spacious property with a large backyard.,2023-11-29,Sold,single houses
24162208,Houston,Texas,77072,798 Sarah Points Apt. 022,4,1,4465,1002583.86,1948,Spacious property with a large backyard.,2023-12-03,For Sale,condominiums
51332690,Kapolei,Hawaii,96707,2476 Scott Walks,1,1,1090,3459308.35,2004,A beautiful home with stunning views.,2023-11-04,Off Market,townhouses
92662083,Osage,West Virginia,26543,79536 Erin Cove Apt. 023,3,1,4878,3845388.0,1982,Spacious property with a large backyard.,2023-09-08,Under Contract,condominiums
44872879,Calhoun,Georgia,30703,809 Carlos Village Suite 473,3,1,1429,1753938.48,1985,A beautiful home with stunning views.,2024-04-20,Sold,apartments
36772611,Greensboro,Georgia,30642,7934 Hughes Vista,4,1,1328,507186.49,1958,A beautiful home with stunning views.,2024-04-22,Under Contract,single houses
22028935,Hazel Hurst,Pennsylvania,16733,533 Wilkerson Stravenue Apt. 482,5,3,2216,4708208.81,2002,Perfect for first-time buyers or investors.,2024-03-07,Off Market,condominiums
54058910,Burbank,South Dakota,57010,30420 Hale Ranch,3,1,829,2210999.53,1972,A beautiful home with stunning views.,2024-07-08,Under Contract,single houses
37395934,Dingle,Idaho,83233,5501 Timothy Greens,4,1,2373,2841232.09,2017,Spacious property with a large backyard.,2024-07-09,Under Contract,single houses
62776629,Hiram,Maine,4041,3468 Daniels Inlet,2,2,1261,839105.23,1997,A beautiful home with stunning views.,2024-02-10,Off Market,condominiums
85801507,Tupelo,Mississippi,38801,7665 Amanda Terrace,1,3,1314,1861600.35,1907,"Located in a quiet neighborhood, this property offers great potential.",2024-03-18,Off Market,condominiums
18277456,Aleppo,Pennsylvania,15310,36421 Gonzalez Ranch,3,2,2420,4643277.19,1929,Spacious property with a large backyard.,2023-09-23,Sold,apartments
26611813,Montcalm,West Virginia,24737,2212 Watson Extension,1,2,525,4979420.83,2004,"Located in a quiet neighborhood, this property offers great potential.",2024-07-20,Off Market,condominiums
40256743,Pine Mountain Valley,Georgia,31823,670 Rivera Spurs Suite 430,4,3,4445,4027892.57,1921,"Located in a quiet neighborhood, this property offers great potential.",2024-08-02,Off Market,single houses
22639903,Omaha,Nebraska,68111,1191 Mary Ports Apt. 677,5,2,3601,3669158.18,1923,Spacious property with a large backyard.,2023-08-14,Sold,villas
36332503,Glen Aubrey,New York,13777,830 Hodges Pike,3,2,2799,162427.92,2002,Perfect for first-time buyers or investors.,2023-12-13,Under Contract,villas
64551203,Lawndale,North Carolina,28090,7924 Smith Lights Apt. 272,2,1,1197,4993551.49,1968,Recently renovated with modern finishes.,2024-06-27,Off Market,villas
54275323,Kensington,Kansas,66951,453 Bennett Freeway,2,1,2418,3063738.35,1977,Recently renovated with modern finishes.,2023-11-14,Pending,condominiums
22563041,New London,Connecticut,6320,252 Cameron Rapid Apt. 665,1,3,4509,3251588.86,1931,"Located in a quiet neighborhood, this property offers great potential.",2024-05-13,For Sale,townhouses
44154998,Clarksburg,California,95612,1373 Judith Stravenue,3,1,2279,2285643.7,1977,"Located in a quiet neighborhood, this property offers great potential.",2023-08-07,Off Market,villas
